repunit,areasqkm,numbarr,barrier_dens
bailey_NA,41.571436204356225,0,0
blackrock_lower,124.92159198396442,3,0.024015063788052713
blackrock_upper,80.686204569364,2,0.024787384791171433
blacktail_NA,61.14455063095294,0,0
blindbull_NA,36.35174492325697,3,0.08252698753067757
boulder_NA,53.69998009443431,0,0
box_NA,29.141470104763634,0,0
cabin_NA,23.51004271715979,0,0
clear_NA,16.604101618688585,0,0
cliff_NA,158.3813173763604,9,0.05682488407779412
cody_bluecrane,18.511707107521175,0,0
cottonwood_grosventre,89.17802924901731,2,0.02242704864463058
cottonwood_nps,187.15270214946145,14,0.07480522503393781
cowboycabin_NA,6.639295264034606,0,0
crystal_lower,185.11488744216462,0,0
crystal_upper,155.6115004101287,0,0
deadman_greys,42.60696343033698,6,0.14082205153648392
deadmansbar_NA,11.761208318342593,0,0
dell_NA,118.1568591435451,1,0.00846332584708545
ditch_NA,67.69148631266991,1,0.014772906527431776
dog_NA,31.090483742564395,1,0.03216418272163939
fall_coburn,116.5315084203892,1,0.008581370082265517
fish_NA,233.3741440851509,7,0.029994753820911366
fish_grosventre,587.8758585030148,8,0.013608315232354406
flat_NA,173.36864105262885,0,0
fordspring_NA,0.371298460979693,0,0
goosewing_NA,40.396075600271566,0,0
granite_lower,220.38266084017036,3,0.013612686173054743
granite_upper,131.17478860877102,3,0.022870248405335754
grosventre_lower,1589.6465467527958,28,0.017613978438915358
hoback_upper,114.07783296671197,4,0.03506377966670531
horse_NA,63.20355466451241,2,0.031643789825051755
lava_NA,65.33372895413697,0,0
leidy_NA,10.736033129626785,0,0
littlegreys_steer,179.34572943407238,3,0.016727468278539645
lowerbarbc_NA,6.396831141622167,0,0
mosquito_NA,61.64128666828233,4,0.06489157212966175
northbuffalofork_NA,211.72771069854838,8,0.03778437868905201
pacific_NA,415.0574929301797,8,0.019274438207397323
rock_NA,11.985799001446921,0,0
shoal_NA,82.64969488421343,1,0.012099258217479588
slate_NA,97.25682381756317,1,0.010282054880548284
snakeriversidechannel_NA,18.81037955717093,0,0
spread_southfork,98.90320211647271,1,0.010110896094368679
spread_uppermainstem,202.60885988767282,5,0.024678091583813365
spreadnf_flagstaff,62.105753464464634,3,0.04830470339139393
spring_nps,4.013031939407464,0,0
spring_tss,24.857829441667214,0,0
threechannel_NA,32.364754827547884,0,0
upperbarbc_NA,5.737050517642647,0,0
white_NA,32.672161808639686,2,0.06121419242821969
willow_NA,185.7033360595004,2,0.010769865757065284
