site,areasqkm,gwi_point,gwi_iew05km
bailey_NA,41.571436204356225,0.009520189836621284,0.028158684210768038
blackrock_lower,124.92159198396442,0.13935300707817078,0.043853568769068686
blackrock_upper,80.686204569364,0.1924089938402176,0.06852655983759876
blacktail_NA,61.14455063095294,0.17830100655555725,0.2664974502977697
blindbull_NA,36.35174492325697,0.047329798340797424,0.07027445956149014
boulder_NA,53.69998009443431,0.1402049958705902,0.04973721661138328
box_NA,29.141470104763634,0.05944409966468811,0.02514578939696184
cabin_NA,23.51004271715979,0.055841099470853806,0.04978562821142316
clear_NA,16.604101618688585,0.07531759887933731,0.028776943415008884
cliff_NA,158.3813173763604,0.2303059995174408,0.0598667292930114
cody_bluecrane,18.511707107521175,0.5193600058555603,0.29697441361563093
cottonwood_grosventre,89.17802924901731,0.14260199666023254,0.07427305852988855
cottonwood_nps,187.15270214946145,0.4438450038433075,0.15160907633961737
cowboycabin_NA,6.639295264034606,NA,0.15103490929646746
crystal_lower,185.11488744216462,0.08405669778585434,0.053459493345791996
crystal_upper,155.6115004101287,0.01565520092844963,0.0350789321250407
deadman_greys,42.60696343033698,0.056821901351213455,0.0415623772348318
deadmansbar_NA,11.761208318342593,0.4607529938220978,0.12284876516395297
dell_NA,118.1568591435451,0.21458500623703003,0.05066461454892191
ditch_NA,67.69148631266991,0.03313380107283592,0.037945010536478495
dog_NA,31.090483742564395,0.06368420273065567,0.061859850473431635
fall_coburn,116.5315084203892,0.2628070116043091,0.10592850612511062
fish_NA,233.3741440851509,0.18696600198745728,0.19327329665870346
fish_grosventre,587.8758585030148,0.0790754035115242,0.05700038366984491
flat_NA,173.36864105262885,0.49528801441192627,0.23744731527971188
fordspring_NA,0.371298460979693,0.36350199580192566,0.3083825652441645
goosewing_NA,40.396075600271566,0.12725499272346497,0.044984355308657124
granite_lower,220.38266084017036,0.4365609884262085,0.07926979243391333
granite_upper,131.17478860877102,0.06855929642915726,0.05121030340437559
grosventre_lower,1589.6465467527958,0.11285000294446945,0.12772197756082734
hoback_upper,114.07783296671197,0.13229399919509888,0.0672652044873204
horse_NA,63.20355466451241,0.3199459910392761,0.054107087398823334
lava_NA,65.33372895413697,0.15424099564552307,0.037128209159929836
leidy_NA,10.736033129626785,0.0376180000603199,0.04548522459554739
littlegreys_steer,179.34572943407238,0.18192599713802338,0.05653151460733583
lowerbarbc_NA,6.396831141622167,0.3782680034637451,0.23840345497069518
mosquito_NA,61.64128666828233,0.5507169961929321,0.08812801689048827
northbuffalofork_NA,211.72771069854838,0.4812009930610657,0.10908345246553669
pacific_NA,415.0574929301797,0.1369519978761673,0.04158214126053129
rock_NA,11.985799001446921,0.02564449980854988,0.019219747169281893
shoal_NA,82.64969488421343,0.1540520042181015,0.06550537569878219
slate_NA,97.25682381756317,0.03599809855222702,0.033366936601362134
snakeriversidechannel_NA,18.81037955717093,0.5644689798355103,0.3722616615355763
spread_southfork,98.90320211647271,0.018971899524331093,0.032767038607233935
spread_uppermainstem,202.60885988767282,0.07364709675312042,0.04527153653174867
spreadnf_flagstaff,62.105753464464634,0.055793099105358124,0.07693418338645021
spring_nps,4.013031939407464,0.25288400053977966,0.09214421894145745
spring_tss,24.857829441667214,0.359358012676239,0.20042810356345644
threechannel_NA,32.364754827547884,0.2897590100765228,0.117843813057241
upperbarbc_NA,5.737050517642647,0.4632450044155121,0.3517652148147659
white_NA,32.672161808639686,0.1206509992480278,0.06405398730038497
willow_NA,185.7033360595004,0.3712950050830841,0.07220654056398042
