repunit,prop_ag,prop_dev,prop_agdev
bailey_NA,0,0,0
blackrock_lower,0,8.272310060567697e-4,8.272310060567697e-4
blackrock_upper,0,4.900268401064695e-4,4.900268401064695e-4
blacktail_NA,0,1.46864444118079e-4,1.46864444118079e-4
blindbull_NA,0,4.9432759089448577e-5,4.9432759089448577e-5
boulder_NA,0,1.338956952533976e-4,1.338956952533976e-4
box_NA,0,0,0
cabin_NA,0,0,0
clear_NA,0,5.4124269322364146e-5,5.4124269322364146e-5
cliff_NA,0,1.701915221929745e-4,1.701915221929745e-4
cody_bluecrane,0.08362064779293935,0.00689554703054436,0.0905161948234837
cottonwood_grosventre,2.0141392575882696e-5,0,2.0141392575882696e-5
cottonwood_nps,4.801044707328315e-6,4.0328775541557846e-4,4.0808880012290676e-4
cowboycabin_NA,0,0,0
crystal_lower,0.001592032073621776,1.4561268966052827e-4,0.0017376447632823041
crystal_upper,0,0,0
deadman_greys,0,0,0
deadmansbar_NA,0.0018366878395959286,0.0010714012397642918,0.00290808907936022
dell_NA,0.02027330174976997,5.170984692364432e-4,0.02079040021900641
ditch_NA,0,0,0
dog_NA,0,0,0
fall_coburn,0,1.2334543660430012e-4,1.2334543660430012e-4
fish_NA,0.03691386252184423,0.00802943870913108,0.04494330123097531
fish_grosventre,4.584436144917083e-6,1.1155461285964901e-4,1.161390490045661e-4
flat_NA,0,1.0364036792330612e-4,1.0364036792330612e-4
fordspring_NA,0,0,0
goosewing_NA,0,0,0
granite_lower,0,1.7526340459353155e-4,1.7526340459353155e-4
granite_upper,0,0,0
grosventre_lower,4.402174527288961e-4,8.985182924761807e-5,5.300692819765142e-4
hoback_upper,0,4.72481868508296e-5,4.72481868508296e-5
horse_NA,0,0,0
lava_NA,0,1.3745704467353951e-5,1.3745704467353951e-5
leidy_NA,0,0,0
littlegreys_steer,0,2.003345587130508e-4,2.003345587130508e-4
lowerbarbc_NA,0.3226711560044893,0,0.3226711560044893
mosquito_NA,0,1.4571312000932565e-5,1.4571312000932565e-5
northbuffalofork_NA,0,4.2428973897695254e-6,4.2428973897695254e-6
pacific_NA,0,1.0388508578094531e-4,1.0388508578094531e-4
rock_NA,0,0,0
shoal_NA,0,0,0
slate_NA,0,7.388457382454261e-5,7.388457382454261e-5
snakeriversidechannel_NA,0,1.4316392269148176e-4,1.4316392269148176e-4
spread_southfork,0,0,0
spread_uppermainstem,0,3.546791040805831e-5,3.546791040805831e-5
spreadnf_flagstaff,0,7.227731359680823e-5,7.227731359680823e-5
spring_nps,0,6.727965911639381e-4,6.727965911639381e-4
spring_tss,0.18503922773780687,0.003253913735131422,0.1882931414729383
threechannel_NA,0.024841100224818898,0.010352771378611673,0.03519387160343057
upperbarbc_NA,0,6.263701847792045e-4,6.263701847792045e-4
white_NA,0,0,0
willow_NA,0,1.934516612661411e-5,1.934516612661411e-5
