repunit,lat,lon
bailey_NA,43.21356,-110.78208
blackrock_lower,43.82523,-110.35208
blackrock_upper,43.807227,-110.178741
blacktail_NA,43.666833,-110.702522
blindbull_NA,42.94309,-110.71308
boulder_NA,43.30566,-110.51166
box_NA,43.86268,-110.28188
cabin_NA,43.24928,-110.77872
clear_NA,43.85941,-110.25135
cliff_NA,43.246684,-110.498562
cody_bluecrane,43.43554,-110.82925
cottonwood_grosventre,43.55226,-110.25895
cottonwood_nps,43.676575,-110.707392
cowboycabin_NA,43.736445,-110.66881000000001
crystal_lower,43.611865,-110.429336
crystal_upper,43.550601,-110.404471
deadman_greys,42.96197,-110.723
deadmansbar_NA,43.75892,-110.60262
dell_NA,43.23103,-110.42322
ditch_NA,43.684036,-110.582611
dog_NA,43.28527,-110.80263
fall_coburn,43.32097,-110.75784
fish_NA,43.45621,-110.86316
fish_grosventre,43.55007,-110.2461
flat_NA,43.53982,-110.7257
fordspring_NA,43.45036,-110.84711
goosewing_NA,43.55408,-110.29047
granite_lower,43.283152,-110.531771
granite_upper,43.34876,-110.43899
grosventre_lower,43.5773784,-110.714828
hoback_upper,43.06569,-110.47446
horse_NA,43.3504,-110.68303
lava_NA,43.85349,-110.4444
leidy_NA,43.729944,-110.345755
littlegreys_steer,43.14805,-110.78316
lowerbarbc_NA,43.54686,-110.78555
mosquito_NA,43.44196,-110.88266
northbuffalofork_NA,43.88506,-110.20756
pacific_NA,43.85965,-110.506105
rock_NA,43.766876,-110.449342
shoal_NA,43.26637,-110.50858
slate_NA,43.62104,-110.40103
snakeriversidechannel_NA,43.68275,-110.70136
spread_southfork,43.74837,-110.31922
spread_uppermainstem,43.780469,-110.380987
spreadnf_flagstaff,43.777245,-110.287325
spring_nps,43.86169,-110.58398
spring_tss,43.46924,-110.81539
threechannel_NA,43.55138,-110.79136
upperbarbc_NA,43.678163,-110.705296
white_NA,43.00559,-110.80309
willow_NA,43.29092,-110.67188
